region,product,category,sales_amount,quantity,profit,sale_date
North,Laptop,Electronics,15000.00,10,4500.00,2024-01-15
South,Laptop,Electronics,22000.00,15,6600.00,2024-01-20
East,Monitor,Electronics,8000.00,20,2400.00,2024-02-01
West,Monitor,Electronics,12000.00,30,3600.00,2024-02-10
North,Keyboard,Accessories,3000.00,50,1500.00,2024-03-05
South,Keyboard,Accessories,4500.00,75,2250.00,2024-03-12
East,Laptop,Electronics,18000.00,12,5400.00,2024-03-20
West,Laptop,Electronics,25000.00,17,7500.00,2024-04-01
North,Monitor,Electronics,6000.00,15,1800.00,2024-04-10
South,Monitor,Electronics,9000.00,22,2700.00,2024-04-15
East,Keyboard,Accessories,3500.00,60,1750.00,2024-05-01
West,Mouse,Accessories,2000.00,80,1000.00,2024-05-10
North,Mouse,Accessories,1500.00,60,750.00,2024-06-01
South,Printer,Office,7000.00,8,2100.00,2024-06-15
East,Printer,Office,8500.00,10,2550.00,2024-07-01
West,Printer,Office,9500.00,12,2850.00,2024-07-20
